location,property_type,bedrooms,bathrooms,size_sqft,amenities,price_kes,listing_date,price_per_sqft,amenity_score,month
Westlands,Apartment,4,5,2174.33,Parking (5),27000000,2026-02-18,12417.618300809905,1,2
Lavington,Townhouse,5,6,6781.32,"Parking (4), Garden",125000000,2026-02-18,18432.989447482203,2,2
Westlands,Apartment,2,3,1560.78,Parking (1),16450000,2026-02-18,10539.601993874858,1,2
Westlands,Apartment,2,3,1453.14,Parking (1),15150000,2026-02-18,10425.698831495933,1,2
Westlands,Apartment,2,3,1399.32,Parking (1),14450000,2026-02-18,10326.444272932567,1,2
Westlands,Apartment,3,4,1991.34,Parking (7),23000000,2026-02-18,11550.01155001155,1,2
Westlands,Apartment,2,2,1087.16,Parking (2),13000000,2026-02-18,11957.76150704588,1,2
Muthangari,Apartment,3,4,1733.0,Parking (2),27790000,2026-02-18,16035.776110790537,1,2
Westlands,Apartment,3,4,2131.27,Parking (2),22550000,2026-02-18,10580.545871710296,1,2
Kitisuru,Townhouse,4,5,32.29,Parking (3),60000000,2026-02-18,1858160.421183029,1,2
Kilimani,Apartment,2,2,1313.21,Parking (1),15600000,2026-02-18,11879.288156502007,1,2
Loresho,Apartment,4,5,43099.06,Parking (3),75000000,2026-02-18,1740.1771639567082,1,2
Karen,Townhouse,4,4,3229.2,None,90000000,2026-02-18,27870.68004459309,0,2
Kitisuru,House,5,4,53.82,Parking (6),85000000,2026-02-18,1579338.535860275,1,2
Lavington,House,5,6,6781.32,"Parking (4), Garden",125000000,2026-02-18,18432.989447482203,2,2
Westlands,Apartment,1,1,602.78,Parking (7),6800000,2026-02-18,11281.064401605894,1,2
Kileleshwa,Apartment,1,1,710.42,Parking (1),7000000,2026-02-18,9853.326201401987,1,2
Kileleshwa,Apartment,1,1,699.66,Parking (1),6900000,2026-02-18,9861.932938856016,1,2
Spring Valley,Townhouse,5,6,904.18,Parking (3),65000000,2026-02-18,71888.34081709395,1,2
Kileleshwa,Apartment,2,2,1377.79,"Parking (1), Garden",12500000,2026-02-18,9072.500163305003,2,2
Kileleshwa,Apartment,2,2,1194.8,"Parking (1), Garden",10400000,2026-02-18,8704.38567124205,2,2
Kileleshwa,Apartment,2,2,1280.92,"Parking (1), Garden",11200000,2026-02-18,8743.715454517065,2,2
Kileleshwa,Apartment,2,2,1453.14,"Parking (1), Garden",12700000,2026-02-18,8739.694730032894,2,2
Kileleshwa,Apartment,2,2,1463.9,"Parking (1), Garden",12800000,2026-02-18,8743.766650727508,2,2
Westlands,Apartment,2,2,968.76,Parking (2),14000000,2026-02-18,14451.463726826047,1,2
Westlands,Apartment,3,3,1506.96,Parking (3),19000000,2026-02-18,12608.164782077825,1,2
Westlands,Apartment,2,2,1119.46,Parking (2),12844000,2026-02-18,11473.388955389206,1,2
Westlands,Apartment,1,1,441.32,Parking (1),5300000,2026-02-18,12009.426266654582,1,2
Kileleshwa,Apartment,4,5,2454.19,Parking (2),26000000,2026-02-18,10594.126779100232,1,2
Kilimani,Apartment,3,3,1442.38,Parking (1),15200000,2026-02-18,10538.138354663819,1,2
Kilimani,Apartment,5,6,2691.0,Parking (2),28200000,2026-02-18,10479.375696767002,1,2
Westlands,Apartment,2,2,1151.75,Parking (1),13000000,2026-02-18,11287.171695246365,1,2
Westlands,Apartment,2,2,1108.69,Parking (1),12500000,2026-02-18,11274.567282107711,1,2
Westlands,Apartment,2,2,979.52,Parking (1),11000000,2026-02-18,11229.990199281281,1,2
Westlands,Apartment,1,1,839.59,Parking (1),9300000,2026-02-18,11076.835121904738,1,2
Kileleshwa,Apartment,3,4,2206.62,Parking (2),24000000,2026-02-18,10876.362944231449,1,2
Westlands,Apartment,3,3,1743.77,Parking (2),20300000,2026-02-18,11641.443538998836,1,2
Kiambu Road,House,7,8,75.35,Parking (6),85000000,2026-02-18,1128069.01128069,1,2
Peponi,Townhouse,4,5,1044.11,Parking (3),85000000,2026-02-18,81409.04693949872,1,2
Westlands,Apartment,2,2,96.88,Parking (2),14000000,2026-02-18,144508.67052023122,1,2
Spring Valley,Apartment,3,5,3250.73,Parking (2),30000000,2026-02-18,9228.696323595008,1,2
Kilimani,Apartment,3,4,1959.05,Parking (2),24000000,2026-02-18,12250.835864321993,1,2
Kilimani,Apartment,3,4,1862.17,Parking (2),22000000,2026-02-18,11814.1737864964,1,2
Kilimani,Apartment,4,4,129.17,Parking (2),25000000,2026-02-18,193543.3924285825,1,2
Syokimau,Apartment,3,4,656.6,Parking (2),12500000,2026-02-18,19037.46573256168,1,2
Westlands,Apartment,2,2,1130.22,Parking (1),14100000,2026-02-18,12475.447258055954,1,2
Riverside,Apartment,2,2,1227.1,Parking (1),13680000,2026-02-18,11148.235677613888,1,2
Westlands,Apartment,2,2,1184.04,Parking (2),14000000,2026-02-18,11823.924867403128,1,2
Westlands,Apartment,1,1,1184.04,Parking (1),8700000,2026-02-18,7347.724739029087,1,2
Westlands,Apartment,1,1,1184.04,Parking (1),6440000,2026-02-18,5439.005439005439,1,2
Westlands,Apartment,2,2,1216.33,Parking (1),12230000,2026-02-18,10054.837091907624,1,2
Westlands,Apartment,3,4,1711.48,Parking (2),19500000,2026-02-18,11393.647603243975,1,2
Riverside,Apartment,2,3,1388.56,Parking (1),15610000,2026-02-18,11241.862072938873,1,2
Westlands,Apartment,1,1,1184.04,Parking (1),5800000,2026-02-18,4898.483159352725,1,2
Kileleshwa,Apartment,1,1,624.31,"Parking (1), Garden",5800000,2026-02-18,9290.256443113198,2,2
Kileleshwa,Apartment,1,1,688.9,"Parking (1), Garden",6300000,2026-02-18,9145.01379010016,2,2
Kileleshwa,Apartment,1,1,710.42,"Parking (1), Garden",6500000,2026-02-18,9149.517187016132,2,2
Kileleshwa,Apartment,1,1,882.65,"Parking (1), Garden",8200000,2026-02-18,9290.205630770974,2,2
Westlands,Apartment,2,2,1528.49,Parking (1),16700000,2026-02-18,10925.81567429293,1,2
Westlands,Apartment,2,2,1216.33,Parking (1),13200000,2026-02-18,10852.318038690159,1,2
Kilimani,Apartment,1,1,699.66,Parking (1),7150000,2026-02-18,10219.249349684133,1,2
Westlands,Apartment,1,1,882.65,Parking (1),8730000,2026-02-18,9890.670141052513,1,2
Westlands,Apartment,1,1,753.48,Parking (1),9000000,2026-02-18,11944.577161968466,1,2
Westlands,Apartment,2,3,1184.04,Parking (2),13000000,2026-02-18,10979.358805445763,1,2
Westlands,Apartment,1,1,796.54,Parking (1),9022900,2026-02-18,11327.616943279685,1,2
Westlands,Apartment,1,1,839.59,Parking (1),9022900,2026-02-18,10746.793077573577,1,2
Kileleshwa,Apartment,2,2,1184.04,Parking (1),11500000,2026-02-18,9712.509712509713,1,2
Westlands,Apartment,1,1,624.31,Parking (1),8100000,2026-02-18,12974.323653313259,1,2
Westlands,Apartment,2,2,11194.56,Parking (2),12840000,2026-02-18,1146.9856787582542,1,2
Westlands,Apartment,1,1,624.31,Parking (1),87000000,2026-02-18,139353.84664669796,1,2
Westlands,Apartment,3,3,1442.38,Parking (2),17500000,2026-02-18,12132.725079382686,1,2
Westlands,Apartment,3,3,1506.96,Parking (2),19000000,2026-02-18,12608.164782077825,1,2
Westlands,Apartment,1,1,699.66,Parking (1),7630000,2026-02-18,10905.296858474116,1,2
Lower Kabete,Apartment,1,1,1184.04,Parking (1),4720000,2026-02-18,3986.3518124387692,1,2
Westlands,Apartment,1,1,753.48,Parking (1),8400000,2026-02-18,11148.272017837235,1,2
Runda,House,4,5,53.82,Parking (3),120000000,2026-02-18,2229654.403567447,1,2
Westlands,Apartment,2,3,1184.04,Parking (3),14000000,2026-02-18,11823.924867403128,1,2
Westlands,Apartment,1,1,1184.04,Parking (1),9000000,2026-02-18,7601.094557616297,1,2
Spring Valley,Townhouse,5,6,3229.2,Parking (3),65000000,2026-02-18,20128.824476650563,1,2
Kitisuru,Townhouse,4,5,3229.2,Parking (3),60000000,2026-02-18,18580.45336306206,1,2
Syokimau,Apartment,2,2,1184.04,Parking (1),8000000,2026-02-18,6756.52849565893,1,2
Karen,House,5,6,75.35,Parking (4),170000000,2026-02-18,2256138.02256138,1,2
Riverside,Apartment,2,1,904.18,Parking (1),10000000,2026-02-18,11059.744741091376,1,2
Kilimani,Apartment,2,2,947.23,Parking (1),10000000,2026-02-18,10557.098064883925,1,2
Kilimani,Apartment,2,2,968.76,Parking (1),10900000,2026-02-18,11251.496758743137,1,2
Kilimani,Apartment,2,2,968.76,Parking (1),11300000,2026-02-18,11664.395722366737,1,2
Westlands,Apartment,1,1,731.95,Parking (1),8940000,2026-02-18,12213.949040234987,1,2
Kileleshwa,Apartment,4,5,2960.1,Parking (2),31000000,2026-02-18,10472.619168271343,1,2
Westlands,Apartment,3,5,1915.99,Parking (8),25380000,2026-02-18,13246.41569110486,1,2
Westlands,Apartment,3,4,1915.99,Parking (8),25380000,2026-02-18,13246.41569110486,1,2
Westlands,Apartment,3,5,1915.99,Parking (6),25380000,2026-02-18,13246.41569110486,1,2
